SIZE 10X10x2
LAYER 1
05,05,05,05,05,05,05,05,05,05
05,06,06,06,06,06,06,06,01,05
05,07,07,07,07,07,07,06,01,05
05,01,01,01,01,01,01,01,01,05
05,01,02,02,02,02,02,02,02,02
05,01,01,01,01,01,01,01,01,02
05,05,05,05,05,05,04,03,01,02
04,04,04,04,04,04,04,03,01,02
04,03,03,03,03,03,03,03,01,02
03,03,02,02,02,02,02,02,02,02

LAYER 2
00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,07,06,00,00
00,00,00,00,00,00,07,06,00,00
00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,05,00,00,00,00
00,00,00,00,00,05,00,00,00,00
04,04,00,00,00,00,00,00,01,00
03,03,02,02,00,00,00,00,01,00
