SIZE 15X15
01,01,01,01,01,08,08,08,08,08,01,01,01,01,01
01,02,02,02,01,01,01,10,10,08,08,08,08,08,01
01,02,06,02,02,02,01,01,10,10,09,09,09,08,01
01,02,06,06,06,02,02,01,01,10,10,10,09,08,01
01,02,05,05,06,06,02,02,01,01,01,10,09,08,01
01,02,04,05,05,06,07,02,02,02,01,10,09,08,01
01,02,04,04,05,00,07,01,01,01,01,10,09,08,01
01,02,03,04,05,07,07,01,12,12,12,10,09,08,01
01,02,03,04,05,07,01,01,12,11,12,10,10,08,01
01,02,03,04,05,07,01,08,12,11,12,12,10,08,01
01,02,03,04,05,07,01,08,08,11,11,12,12,08,01
01,02,03,04,04,04,01,01,08,08,11,11,11,08,01
01,02,03,03,03,04,04,01,01,08,08,08,11,08,01
01,02,02,02,02,02,04,04,01,01,01,08,08,08,01
01,01,01,01,01,02,02,02,02,02,01,01,01,01,01

01,01,01,01,01,08,08,08,08,08,01,01,01,01,01
01,02,02,02,01,01,01,10,10,08,08,08,08,08,01
01,02,06,02,02,02,01,01,10,10,09,09,09,08,01
01,02,06,06,06,02,02,01,01,10,10,10,09,08,01
01,02,05,05,06,06,02,02,01,01,01,10,09,08,01
01,02,04,05,05,06,07,02,02,02,01,10,09,08,01
01,02,04,04,05,07,07,01,01,01,01,10,09,08,01
01,02,03,04,05,07,00,01,12,12,12,10,09,08,01
01,02,03,04,05,07,01,01,12,11,12,10,10,08,01
01,02,03,04,05,07,01,08,12,11,12,12,10,08,01
01,02,03,04,05,07,01,08,08,11,11,12,12,08,01
01,02,03,04,04,04,01,01,08,08,11,11,11,08,01
01,02,03,03,03,04,04,01,01,08,08,08,11,08,01
01,02,02,02,02,02,04,04,01,01,01,08,08,08,01
01,01,01,01,01,02,02,02,02,02,01,01,01,01,01

01,01,01,01,01,08,08,08,08,08,01,01,01,01,01
01,02,02,02,01,01,01,10,10,08,08,08,08,08,01
01,02,06,02,02,02,01,01,10,10,09,09,09,08,01
01,02,06,06,06,02,02,01,01,10,10,10,09,08,01
01,02,05,05,06,06,02,02,01,01,01,10,09,08,01
01,02,04,05,05,06,07,02,02,02,01,10,09,08,01
01,02,04,04,05,07,07,01,01,01,01,10,09,08,01
01,02,03,04,05,07,01,01,12,12,12,10,09,08,01
01,02,03,04,05,07,01,00,12,11,12,10,10,08,01
01,02,03,04,05,07,01,08,12,11,12,12,10,08,01
01,02,03,04,05,07,01,08,08,11,11,12,12,08,01
01,02,03,04,04,04,01,01,08,08,11,11,11,08,01
01,02,03,03,03,04,04,01,01,08,08,08,11,08,01
01,02,02,02,02,02,04,04,01,01,01,08,08,08,01
01,01,01,01,01,02,02,02,02,02,01,01,01,01,01
