SIZE 14X18
03,03,03,03,03,03,03,04,04,04,04,04,04,04
03,02,02,02,02,02,03,04,05,05,05,05,05,04
03,02,01,01,01,02,03,04,05,06,06,06,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,01,02,03,04,05,06,07,08,05,04
03,02,09,07,07,07,07,07,07,07,07,08,05,04
03,02,09,09,09,09,09,09,09,09,09,09,05,04
03,02,02,02,02,02,02,05,05,05,05,05,05,04
03,03,03,03,03,03,03,03,03,03,03,03,03,03
