SIZE 10X18
01,01,01,01,01,01,01,01,01,01
01,13,12,12,12,08,02,14,16,16
01,13,12,08,08,08,02,14,16,17
12,12,12,08,02,02,02,14,16,17
12,08,08,08,02,14,14,14,16,17
12,08,03,03,02,14,16,16,16,17
12,08,03,06,02,14,14,14,17,17
12,08,03,06,02,02,02,14,17,14
08,08,03,06,06,06,02,14,14,14
04,04,03,07,07,06,02,05,05,05
09,09,03,06,06,06,02,15,15,15
10,09,03,06,02,02,02,15,19,19
10,09,03,06,02,15,15,15,19,18
10,09,03,03,02,15,19,19,19,18
10,09,09,09,02,15,15,15,18,18
10,10,10,09,02,02,02,15,18,15
11,11,11,09,09,09,02,15,15,15
20,20,20,20,20,20,20,20,20,20
