SIZE 17X15
01,06,06,06,06,06,06,06,06,06,06,10,10,10,10,10,10
01,06,01,01,01,03,03,03,03,12,06,09,09,09,09,09,09
01,06,01,04,01,03,01,01,01,12,06,06,06,06,06,06,06
01,06,01,04,01,03,01,11,01,12,01,01,01,02,02,02,02
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,01,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,02,01,13,01
01,06,01,04,01,03,01,11,01,12,01,05,01,01,01,13,08
01,06,01,04,01,03,01,11,01,01,01,05,05,13,13,13,08
01,06,01,04,01,01,01,11,08,08,08,08,08,08,08,08,08
01,01,01,04,04,04,04,04,08,07,07,07,07,07,07,07,07
