SIZE 16X19
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28
28,25,25,27,27,27,27,27,27,27,27,27,27,27,27,28
28,24,25,27,05,05,05,06,06,06,07,07,07,26,27,28
28,24,25,27,05,01,05,06,02,06,07,03,07,26,27,28
28,24,25,27,05,01,05,06,02,06,07,03,07,26,27,28
28,24,25,27,05,01,05,06,02,06,07,03,07,26,27,28
28,24,25,27,01,01,05,02,02,06,03,03,07,26,27,28
28,24,25,27,01,05,05,02,06,06,03,07,07,26,27,28
28,24,25,27,01,08,08,02,09,09,03,26,26,26,27,28
28,24,25,27,01,01,08,02,02,09,03,03,28,28,28,28
21,21,21,27,28,01,08,10,02,09,11,03,28,22,22,22
21,04,04,28,28,01,10,10,02,11,11,03,28,04,04,22
04,04,15,28,01,01,10,02,02,11,03,03,28,16,04,04
04,15,15,28,01,12,10,02,13,11,03,14,28,16,16,04
04,17,17,28,01,12,10,02,13,11,03,14,28,18,18,04
04,04,17,28,01,12,12,02,13,13,03,14,28,18,04,04
19,04,04,28,28,28,28,28,28,28,28,28,28,04,04,20
19,19,04,04,04,04,04,04,04,04,04,04,04,04,20,20
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
