SIZE 35X19
07,07,07,07,07,07,07,07,07,07,07,07,07,07,07,10,10,10,10,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
07,01,01,01,01,01,01,01,01,01,01,01,01,01,07,08,08,08,10,32,30,30,30,30,30,30,30,30,30,30,30,30,30,30,32
07,07,07,07,07,07,07,02,05,05,05,05,06,06,07,07,35,08,10,32,30,19,19,19,19,19,19,19,19,19,19,19,19,30,32
17,17,17,18,18,15,07,02,04,04,04,05,05,06,06,07,35,08,10,32,30,19,24,24,24,25,25,25,25,25,25,24,19,30,32
17,10,09,18,09,15,07,02,03,03,04,04,05,05,06,06,35,08,10,32,30,19,24,26,24,24,24,24,24,24,25,24,19,30,32
17,10,09,18,09,15,07,02,04,03,03,04,04,05,05,06,35,08,10,32,30,19,24,26,26,26,26,26,26,24,24,24,19,30,32
17,10,09,18,09,15,07,02,04,04,03,03,04,04,05,06,35,08,10,32,30,19,19,19,19,19,19,20,20,20,20,20,19,30,32
17,10,09,18,09,15,07,02,05,04,04,03,03,04,05,06,08,08,10,32,30,30,30,30,30,30,30,30,21,21,30,30,30,30,32
17,10,09,18,09,15,07,02,05,05,04,04,04,04,05,06,08,10,10,32,32,32,32,32,32,31,31,21,21,30,30,32,32,32,32
17,10,09,18,09,15,07,02,06,05,05,05,05,05,05,06,08,10,17,17,17,17,33,33,31,31,21,21,30,30,32,32,34,34,34
17,10,09,18,09,15,07,02,06,06,06,06,06,06,06,06,08,10,17,33,33,33,33,31,31,21,21,30,30,32,32,33,33,33,33
17,10,09,18,09,15,07,02,08,08,08,08,08,08,08,08,08,10,17,33,31,31,31,31,21,21,30,30,31,31,31,31,31,31,33
17,10,09,18,09,15,07,02,08,11,11,11,11,11,11,11,11,10,17,33,31,23,22,22,22,22,22,22,22,23,23,23,23,31,33
17,10,09,18,09,15,07,02,08,11,10,10,10,10,10,10,10,10,17,33,31,23,27,28,28,28,28,28,28,27,27,27,23,31,33
17,10,09,18,09,15,07,02,08,11,10,13,13,13,13,13,13,13,17,33,31,23,27,28,27,27,27,27,27,27,29,27,23,31,33
17,10,09,09,09,15,07,02,08,11,10,14,14,14,14,14,14,13,17,33,31,23,27,27,27,29,29,29,29,29,29,27,23,31,33
17,10,12,12,12,15,08,08,08,11,10,14,16,16,16,16,14,13,17,33,31,23,23,23,23,23,23,23,23,23,23,23,23,31,33
17,10,10,10,10,10,10,10,10,10,10,14,14,14,14,16,16,16,17,33,31,31,31,31,31,31,31,31,31,31,31,31,31,31,33
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
