SIZE 18X21
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12
12,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,12
12,15,13,01,01,01,01,01,01,01,01,01,01,01,01,13,15,12
12,15,13,01,06,06,06,07,07,07,07,07,07,06,01,13,15,12
12,15,13,01,06,08,06,06,06,06,06,06,07,06,01,13,15,12
12,15,13,01,06,08,08,08,08,08,08,06,06,06,01,13,15,12
12,15,13,01,01,01,01,01,01,02,02,02,02,02,01,13,15,12
12,15,13,13,13,13,13,13,13,13,03,03,13,13,13,13,15,12
12,15,15,15,15,15,15,14,14,03,03,13,13,15,15,15,15,12
17,17,17,17,16,16,14,14,03,03,13,13,15,15,17,17,17,17
17,16,16,16,16,14,14,03,03,13,13,15,15,16,16,16,16,17
17,16,14,14,14,14,03,03,13,13,14,14,14,14,14,14,16,17
17,16,14,05,04,04,04,04,04,04,04,05,05,05,05,14,16,17
17,16,14,05,09,00,10,10,10,10,10,09,09,09,05,14,16,17
17,16,14,05,09,10,10,09,09,09,09,09,11,09,05,14,16,17
17,16,14,05,09,09,09,09,11,11,11,11,11,09,05,14,16,17
17,16,14,05,05,05,05,05,05,05,05,05,05,05,05,14,16,17
17,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17

12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12
12,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,12
12,15,13,01,01,01,01,01,01,01,01,01,01,01,01,13,15,12
12,15,13,01,06,06,06,07,07,07,07,07,07,06,01,13,15,12
12,15,13,01,06,08,06,06,06,06,06,06,07,06,01,13,15,12
12,15,13,01,06,08,08,08,08,08,08,06,06,06,01,13,15,12
12,15,13,01,01,01,01,01,01,02,02,02,02,02,01,13,15,12
12,15,13,13,13,13,13,13,13,13,03,03,13,13,13,13,15,12
12,15,15,15,15,15,15,14,14,03,03,13,13,15,15,15,15,12
17,17,17,17,16,16,14,14,03,03,13,13,15,15,17,17,17,17
17,16,16,16,16,14,14,03,03,13,13,15,15,16,16,16,16,17
17,16,14,14,14,14,03,03,13,13,14,14,14,14,14,14,16,17
17,16,14,05,04,04,04,04,04,04,04,05,05,05,05,14,16,17
17,16,14,05,09,10,10,10,10,10,10,09,09,09,05,14,16,17
17,16,14,05,09,10,00,09,09,09,09,09,11,09,05,14,16,17
17,16,14,05,09,09,09,09,11,11,11,11,11,09,05,14,16,17
17,16,14,05,05,05,05,05,05,05,05,05,05,05,05,14,16,17
17,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17

12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
12,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,12
12,15,13,13,13,13,13,13,13,13,13,13,13,13,13,13,15,12
12,15,13,01,01,01,01,01,01,01,01,01,01,01,01,13,15,12
12,15,13,01,06,06,06,07,07,07,07,07,07,06,01,13,15,12
12,15,13,01,06,08,06,06,06,06,06,06,07,06,01,13,15,12
12,15,13,01,06,08,08,08,08,08,08,06,06,06,01,13,15,12
12,15,13,01,01,01,01,01,01,02,02,02,02,02,01,13,15,12
12,15,13,13,13,13,13,13,13,13,03,03,13,13,13,13,15,12
12,15,15,15,15,15,15,14,14,03,03,13,13,15,15,15,15,12
17,17,17,17,16,16,14,14,03,03,13,13,15,15,17,17,17,17
17,16,16,16,16,14,14,03,03,13,13,15,15,16,16,16,16,17
17,16,14,14,14,14,03,03,13,13,14,14,14,14,14,14,16,17
17,16,14,05,04,04,04,04,04,04,04,05,05,05,05,14,16,17
17,16,14,05,09,10,10,10,10,10,10,09,09,09,05,14,16,17
17,16,14,05,09,10,09,09,09,09,09,09,11,09,05,14,16,17
17,16,14,05,09,09,09,00,11,11,11,11,11,09,05,14,16,17
17,16,14,05,05,05,05,05,05,05,05,05,05,05,05,14,16,17
17,16,14,14,14,14,14,14,14,14,14,14,14,14,14,14,16,17
17,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
